,price,location,"rooms[bed,bath]",SQm,type_p,description,link
71,"$247,851,990CLP($1,510,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",164 SqM ,Apartment,4 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547166
72,"$134,941,639CLP($1,680,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['2', '2']",80 SqM ,Apartment,2 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547300
73,"$363,516,252CLP($1,740,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['5', '4']",209 SqM ,House,5 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/5-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u547642
74,"$247,851,990CLP($1,650,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",150 SqM ,Apartment,4 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u546302
75,"$280,898,922CLP($1,650,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '3']",170 SqM ,Apartment,4 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547588
76,"$660,938,640CLP($1,470,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['6', '5']",448.40 SqM ,House,6 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/6-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u546226
77,"$404,824,917CLP($1,580,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '4']",256 SqM ,House,4 Bedroom House for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-house-for-sale-at-concon-in-vina-del-mar-valparaiso-u546468
78,"$126,955,297CLP($2,110,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['2', '2']",60 SqM ,Apartment,2 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/2-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u545664
79,"$371,777,985CLP($2,650,000CLP/SqM)"," Vina Del Mar, Valparaiso, Valparaiso, Chile","['4', '4']",140 SqM ,Apartment,4 Bedroom Apartment for sale at Concon,https://www.fazwaz.cl/en/property-sales/4-bedroom-apartment-for-sale-at-concon-in-vina-del-mar-valparaiso-u547394
80,"$85,000,000CLP"," Vina Del Mar, Valparaiso, Valparaiso, Chile","[' ', ' ']","5,395 SqM ",Land, Land for sale at Concon,https://www.fazwaz.cl/en/property-sales/land-for-sale-at-concon-in-vina-del-mar-valparaiso-u546386
